"","participant.label","(Intercept)","high.impact","low.impact","diff","gender","age","income","education","cc_concern.mean","total_co2","conservative_liberal.binary","conservative_liberal","policy.car.sub","policy.car.tax","policy.flying.sub","policy.flying.tax","policy.RE.sub","policy.RE.tax","policy.meat.tax","policy.meat.sub","policy.recycle.tax","policy.recycle.sub","policy.regional_food.sub","policy.regional_food.tax","policy.support.total","policy.car","policy.flying","policy.RE","policy.meat","policy.recycle","policy.regional_food","footprint.electricity","footprint.regional","footprint.recycling","footprint.diet","footprint.travel.car","footprint.travel.bus","footprint.travel.train","footprint.flying","footprint.public.transport"
"56","5c3d48955fd1050001a99364",2.55540781114898,0.435346571913605,0.477434521434641,-0.04,"Female",33,"18.000£ to 23.000£","Compulsory education",2.5,7.6,"left-leaning",4,7,1,7,4,4,1,4,4,4,7,4,1,4,4,5.5,2.5,4,5.5,2.5,1.294697,-0.22,-0.0575,2.282,4.0896,0.1555,0.0729,0,0.1142
"57","5c49d339b43d260001e4dbcb",3.0818899868281,0.333993430345674,0.441096341995215,-0.11,"Male",46,"> 45.001£","Compulsory education",6,6.3,"left-leaning",5,5,4,5,5,5,5,4,5,5,5,5,5,4.83333333333333,4.5,5,5,4.5,5,5,1.294697,-0.11,-0.0575,2.282,2.0414,0,0,0.9,0
"58","5c49e145e97243000194bace",4.32852280494468,-0.058150279542937,-0.520540798254243,0.46,"Female",38,"< 18.000£","Further education",3.75,6.8,"right-leaning",6,4,2,1,4,4,1,1,4,1,4,4,4,2.83333333333333,3,2.5,2.5,2.5,2.5,4,1.294697,-0.22,-0.0575,2.282,3.27168,0.1555,0.0729,0.36,0.1142
"59","5c51d3e6a163ac0001721273",2.45295334106188,0.593538792435714,0.728429472852271,-0.13,"Male",47,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",5.75,2.1,"left-leaning",4,6,2,6,6,6,2,6,7,3,7,7,5,5.25,4,6,4,6.5,5,6,0.1031,-0.22,-0.0575,1.234,1.0872,0,0,0,0
"60","5c582f95caffa2000175bc72",2.22124541511233,0.623800717666624,0.886568558838273,-0.26,"Female",37,"< 18.000£","Further education",4.5,6.9,"left-leaning",5,6,3,4,3,6,2,2,6,2,6,7,3,4.16666666666667,4.5,3.5,4,4,4,5,1.294697,0,-0.0575,2.282,1.0872,0.1555,0.0729,2.07,0.1142
"61","5c780b32f2fe9400169291fb",2.34362772684892,0.206030008208592,0.310367174977226,-0.1,"Male",47,"30.501£ to 45.000£","Further education",3,6.8,"right-leaning",9,4,1,1,1,3,1,1,2,1,6,2,1,2,2.5,1,2,1.5,3.5,1.5,0.6988837,-0.22,-0.0575,2.282,4.0896,0,0,0,0
"62","5c7fb5f2e87c1c00168a7de3",2.94623890397464,0.72587710248749,1.01232519220151,-0.29,"Male",64,"18.000£ to 23.000£","Higher education (Bachelor, Master, PhD)",6,2.1,"left-leaning",3,7,7,7,7,7,5,7,7,7,7,7,7,6.83333333333333,7,7,6,7,7,7,1.294697,-0.33,-0.0575,1.234,0,0,0,0,0
"63","5c8a2d11f7ab04001042af3c",2.0926689363214,0.641422055913727,0.918152680800051,-0.28,"Male",29,"< 18.000£","Higher education (Bachelor, Master, PhD)",5.25,4,"left-leaning",3,6,4,4,3,6,4,2,4,2,6,5,3,4.08333333333333,5,3.5,5,3,4,4,0.6988837,-0.33,-0.0575,2.282,0.2726,0.1555,0.0729,0.9,0.1142
"64","5c93b062c9d93b0015fcbc02",2.27473603310965,0.63855205928894,0.696992931310957,-0.06,"Female",40,"< 18.000£","Higher education (Bachelor, Master, PhD)",6,3,"left-leaning",5,7,3,7,4,7,1,1,4,5,7,7,4,4.75,5,5.5,4,2.5,6,5.5,0.6988837,-0.22,-0.0575,2.282,0.2726,0,0,0,0
"65","5caa0d17f1622b001256f767",2.09641400511761,0.409892485145089,0.543597435604625,-0.13,"Female",39,"< 18.000£","Compulsory education",5.75,6.8,"left-leaning",4,6,3,3,2,6,3,3,6,2,6,6,2,4,4.5,2.5,4.5,4.5,4,4,0.1031,-0.22,-0.0575,2.282,1.0872,0,0,3.59,0
